DISTRICT,YEAR,PRODUCTION,AREA,YIELD,GDD,HEAT_STRESS_DAYS,PRECIP,PET,TMEAN,DTR,CROP,GDD_lag1,GDD_roll3_mean,HEAT_STRESS_DAYS_lag1,HEAT_STRESS_DAYS_roll3_mean,PRECIP_lag1,PRECIP_roll3_mean,PET_lag1,PET_roll3_mean,TMEAN_lag1,TMEAN_roll3_mean,YIELD_lag1,YIELD_lag2,YIELD_lag3,AREA_lag1,YIELD_roll3_mean,YIELD_roll3_std,AREA_roll3_mean,YEAR_INDEX
Badin,2003,64.73,7.29,8.87,3056.60013961792,184.0,317.8,38.9,31.616669,10.783334,COTTON,3140.1001052856445,3087.733414967855,184.0,184.0,47.2,107.69999833333333,39.300003,38.966667666666666,32.06667,31.783335000000005,4.62,19.35,10.91,16.97,11.626666666666667,7.391105014362423,11.926666666666668,3
Badin,2004,20.26,4.75,4.27,3074.800151824951,184.0,81.7,39.4,31.716667,10.783334,COTTON,3056.60013961792,3085.6000741322837,184.0,184.0,317.8,164.09999833333333,38.9,38.966667666666666,31.616669,31.772224000000005,8.87,4.62,19.35,7.29,10.946666666666667,7.581400486277806,10.296666666666665,4
Badin,2005,19.19,5.68,3.38,3065.200117111206,184.0,163.70001,39.100002,31.666666,10.783333,COTTON,3074.800151824951,3090.5001322428384,184.0,184.0,81.7,148.9,39.4,39.200001,31.716667,31.800002000000003,4.27,8.87,4.62,4.75,5.919999999999999,2.5607616054603772,9.67,5
Badin,2006,46.0,9.36,4.91,3103.3001976013184,184.0,351.1,39.100002,31.866669,10.783334,COTTON,3065.200117111206,3065.533469518026,184.0,184.0,163.70001,187.73333666666667,39.100002,39.133334,31.666666,31.666667333333333,3.38,4.27,8.87,5.68,5.506666666666665,2.946529031476415,5.906666666666666,6
Badin,2007,64.91,14.97,4.34,3096.3001747131348,184.0,275.4,39.4,31.833334,10.783334,COTTON,3103.3001976013184,3081.1001555124917,184.0,184.0,351.1,198.83333666666667,39.100002,39.20000133333333,31.866669,31.750000666666665,4.91,3.38,4.27,9.36,4.1866666666666665,0.7683965989860617,6.596666666666667,7
Badin,2008,90.48,13.57,6.67,3121.0000915527344,184.0,153.40001,39.5,31.966667,10.783334,COTTON,3096.3001747131348,3088.266829808553,184.0,184.0,275.4,263.40000333333336,39.4,39.20000133333334,31.833334,31.788889666666666,4.34,4.91,3.38,14.97,4.21,0.7732399368889408,10.003333333333332,8
Badin,2009,168.64,18.92,8.91,3210.100141525269,184.0,279.0,40.100002,32.45,10.783333,COTTON,3121.0000915527344,3106.8668212890625,184.0,184.0,153.40001,259.96666999999997,39.5,39.333334,31.966667,31.888890000000004,6.67,4.34,4.91,13.57,5.3066666666666675,1.2145918381634808,12.633333333333333,9
Badin,2010,190.16,19.58,9.71,3186.4001636505127,184.0,421.1,40.100002,32.31667,10.783334,COTTON,3210.100141525269,3142.466802597046,184.0,184.0,279.0,235.93333666666663,40.100002,39.66666733333333,32.45,32.08333366666667,8.91,6.67,4.34,18.92,6.640000000000001,2.2851476976335703,15.82,10
Badin,2011,44.43,19.49,2.28,3142.700117111206,184.0,141.8,39.6,32.083332,10.783334,COTTON,3186.4001636505127,3172.5001322428384,184.0,184.0,421.1,284.5000033333333,40.100002,39.900001333333336,32.31667,32.24444566666667,9.71,8.91,6.67,19.58,8.430000000000001,1.5758172482873782,17.356666666666666,11
Badin,2012,101.71,13.13,7.75,3094.0001640319824,184.0,197.1,39.4,31.816668,10.783334,COTTON,3142.700117111206,3179.7334740956626,184.0,184.0,141.8,280.6333333333333,39.6,39.93333466666667,32.083332,32.283333999999996,2.28,9.71,8.91,19.49,6.966666666666668,4.078435157426601,19.33,12
