DISTRICT,YEAR,PRODUCTION,AREA,YIELD,GDD,HEAT_STRESS_DAYS,PRECIP,PET,P_MINUS_PET,TMEAN,TMX,TMN,DTR,VPD,RH,VAP_KPA,CROP
Khairpur,2000.0,16.89,5.96,2.83,6623.600231170654,204.69999408721924,36.3,49.3,-13.000002,32.125,39.45,24.8875,14.5625,0.0,100.0,22.225,RICE
Khairpur,2001.0,11.03,5.34,2.07,6526.40020942688,205.47501182556152,52.4,48.5,3.8999984,31.725,39.05,24.487501,14.5625,0.0,100.0,22.1125,RICE
Khairpur,2002.0,8.57,3.71,2.31,6675.9000816345215,204.69999408721924,13.0,49.4,-36.4,32.3375,39.662502,25.1,14.5625,0.0,100.0,22.4625,RICE
Khairpur,2003.0,13.56,2.14,6.33,6414.70013999939,197.72501182556152,183.90001,48.300003,135.60002,31.275002,38.600002,24.0375,14.562501,0.0,100.0,21.6,RICE
Khairpur,2004.0,7.46,3.73,2.0,6563.800012588501,188.4250059127808,16.3,49.100002,-32.8,31.8875,39.2125,24.65,14.5625,0.0,100.0,21.7625,RICE
Khairpur,2005.0,4.56,2.18,2.09,6418.100210189819,195.52501773834229,31.5,48.4,-16.9,31.2875,38.612503,24.050001,14.5625,0.0,100.0,21.65,RICE
Khairpur,2006.0,13.29,5.33,2.49,6526.300140380859,189.82499408721924,92.200005,48.800003,43.4,31.712502,39.0375,24.475,14.5625,0.0,100.0,22.0375,RICE
Khairpur,2007.0,16.02,5.87,2.73,6606.400114059448,193.85001182556152,75.6,49.100002,26.499998,32.0625,39.3875,24.825,14.5625,0.0,100.0,22.15,RICE
Khairpur,2008.0,27.91,8.79,3.17,6505.000186920166,210.125,68.0,48.600002,19.400003,31.6375,38.9625,24.4,14.5625,0.0,100.0,21.9125,RICE
Khairpur,2009.0,25.95,8.5,3.05,6631.100141525269,201.60001182556152,50.5,49.4,1.1000004,32.15,39.475,24.9125,14.5625,0.0,100.0,22.0875,RICE
Khairpur,2010.0,27.76,9.01,3.08,6684.700115203857,208.57499408721924,149.6,49.300003,100.3,32.375,39.7,25.1375,14.5625,0.0,100.0,22.1625,RICE
Khairpur,2011.0,29.46,9.43,3.12,6589.900279998779,198.57499980926517,79.7,48.9,30.8,31.987501,39.3125,24.75,14.5625,0.0,100.0,22.25,RICE
Khairpur,2012.0,18.62,5.67,3.28,6517.400173187256,195.4499883651733,25.7,48.800003,-23.100002,31.6875,39.0125,24.45,14.5625,0.0,100.0,22.0125,RICE
Khairpur,2013.0,18.37,6.04,3.04,6648.500150680542,213.22501182556152,59.4,49.5,9.899999,32.225002,39.55,24.987501,14.5625,0.0,100.0,22.5125,RICE
Khairpur,2014.0,25.75,8.58,3.0,6638.600114822388,207.8000059127808,22.0,49.5,-27.500002,32.1875,39.5125,24.95,14.5625,0.0,100.0,22.325,RICE
Khairpur,2015.0,25.86,8.61,3.01,6602.000211715698,207.02501773834229,92.3,49.100002,43.2,32.037502,39.3625,24.8,14.562501,0.0,100.0,21.9125,RICE
Khairpur,2016.0,25.91,8.7,2.98,6730.600173950195,210.125,39.0,49.800003,-10.800002,32.5625,39.8875,25.325,14.562501,0.0,100.0,22.5,RICE
Khairpur,2017.0,25.65,8.6,2.98,6718.500240325928,214.0,54.3,49.7,4.5999985,32.5125,39.8375,25.275,14.5625,0.0,100.0,22.525,RICE
Khairpur,2018.0,25.88,8.67,2.98,6711.000102996826,202.375,17.6,49.7,-32.100002,32.4875,39.8125,25.25,14.5625,0.0,100.0,22.6375,RICE
Khairpur,2019.0,25.71,8.69,2.96,6640.600246429443,202.375,71.7,49.600002,22.1,32.2,39.525,24.9625,14.5625,0.0,100.0,22.400002,RICE
Khairpur,2020.0,25.68,8.59,2.99,6565.900186538696,195.40001773834229,75.200005,49.300003,25.900002,31.8875,39.2125,24.65,14.5625,0.0,100.0,22.125,RICE
Khairpur,2021.0,26.06,8.6,3.03,6629.300256729126,201.60001182556152,43.7,49.5,-5.800001,32.15,39.475002,24.9125,14.562501,0.0,100.0,22.5625,RICE
Khairpur,2022.0,26.04,8.67,3.0,6687.500314712524,203.15001773834229,253.40001,49.4,204.00002,32.4,39.725002,25.1625,14.5625,0.0,100.0,22.3375,RICE
Khairpur,2023.0,20.6,5.65,3.64,6583.100023269653,209.35001182556152,151.6,48.9,102.7,31.9625,39.287502,24.725,14.562501,0.0,100.0,22.225,RICE
Khairpur,2024.0,9.18,3.43,2.68,6834.600048065186,214.0,113.9,50.2,63.7,32.9875,40.3125,25.75,14.5625,0.0,100.0,23.050001,RICE
Ghotki,2000.0,30.57,8.49,3.6,6571.9002113342285,201.6500120162964,45.100002,47.800003,-2.6999996,31.9125,39.15,24.712502,14.4375,0.0,100.0,22.1375,RICE
Ghotki,2001.0,30.13,6.74,4.47,6459.700185775757,203.17501735687256,64.6,47.300003,17.3,31.45,38.6875,24.2375,14.450001,0.0,100.0,21.962502,RICE
Ghotki,2002.0,127.53,34.05,3.75,6593.9001750946045,194.8000001907349,27.300001,47.9,-20.6,32.0,39.2375,24.7875,14.45,0.0,100.0,22.2625,RICE
Ghotki,2003.0,140.92,40.62,3.47,6332.600231170654,190.10001182556152,171.3,46.800003,124.50001,30.937502,38.175,23.725,14.450001,0.0,100.0,21.4375,RICE
